lut.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
species of fungi;Andersa 3.1;;;;Andersa 3a.1;;;;3;;;;Andersa 3a.9;;;;Andersa 3.5;;;;Andersa 3.6;;;;Andersa 3.7;;;;Andersa 3.8;;;;Andersa 3.9;;;;Andersa 3a.2;;;;Andersa 3a.3;;;;Andersa 3a.4;;;;Andersa 3a.6;;;;Andersa 3a.7;;;;Andersa 3b.1;;;;Andersa 3b.5;;;;Andersa 3b.8;;;;Andersa 3c.2;;;;Andersa 3b.2;;;;Andersa 3c.4;;;;Andersa 3c.5;;;;Andersa 3c.10;;;;Andersa 3a.10;;;;Andersa 3c.8;;;;Andersa 3a.8;;;;
;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;
Mortierella sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;4
Phomopsis sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Penicillium expansum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aspergillus ustus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aspergillus melleus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aspergillus oryzae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ulocladium sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Wallemia sebi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Pencillium janthinellum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;8
;65;23;7;42;4;12;8;12;4;4;5;2;3;1;1;7;1;2;1;0;8;4;2;1;8;8;10;2;8;6;4;14;7;3;21;1;2;3;1;4;3;5;17;2;18;21;21;1;1;3;5;6;1;0;1;4;4;5;5;27;5;12;17;3;6;2;4;4;3;6;5;4;8;5;7;2;7;9;10;21;11;27;18;32;8;3;2;9;6;7;4;2;1;3;4;1;2;7;2;2;762
;;;;137;;;;36;;;;15;;;;12;;;;4;;;;15;;;;28;;;;32;;;;32;;;;10;;;;27;;;;61;;;;15;;;;6;;;;41;;;;37;;;;16;;;;18;;;;22;;;;47;;;;88;;;;22;;;;19;;;;9;;;;13;762
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30
